순번,제목,내용,사용자_정보,카페명,작성일,링크
65,irp 계좌 출금 수수료 꼼꼼하게 확인해야합니다!,"IRP 계좌 출금 수수료, 제대로 알고 절세하자 최근 노후 준비와 절세를 동시에 할 수 있는 금융 상품으로 ‘IRP’가 큰 주목을 받고 있습니다. IRP란 **개인형퇴직연금(Individual Retirement Pension)**의 약자로, 퇴직금 수령용으로 사용될 수 있을 뿐만 아니라, 직장인과 자영업자 모두가 자율적으로 노후를 준비할 수 있도록 허용된 제도입니다. 특히 연말정산 시즌마다 세액공제를 받을 수 있는 대표적인 연금계좌로...","[금융꿀팁]직장인/주부/서민/아파트론/대환/사잇돌/저금리/대출
5일 전",카페명 없음,날짜 없음,https://cafe.naver.com/loveshake1/145713?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImxvdmVzaGFrZTEiLCJhcnRpY2xlSWQiOjE0NTcxMywiaXNzdWVkQXQiOjE3NTA3MjgyMjU0MjB9.IzCBdZusyDZy1Ao-js52gNEMFRzUqqaYawS55bvTVc8
66,Irp 가입하려하는데 우체국도 irp 상품이 있나요?,연금저축보험(5년차) 퇴직연금(DB형) 있는데 irp 하나 가입하려합니다 내일 가입하려고 하는데 우체국에도 irp 상품이 있나요?,"은퇴 후 50년 [시니어·실버·노후·귀농·모임]
대표
2025.05.12.",카페명 없음,날짜 없음,https://cafe.naver.com/dlxogns01/273292?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRseG9nbnMwMSIsImFydGljbGVJZCI6MjczMjkyLCJpc3N1ZWRBdCI6MTc1MDcyODIyNTQyMH0.5SW9N3-wvk4tcZqt-mKBezZ0fL50XJ6vsas9-QQ33bc
67,퇴직금 irp 계좌에서 일부 인출 가능한가요?,"안녕하세요~~ 제가 이번에 퇴직을 해서 irp로 퇴직금을 받게 되었어요 기존 irp로 합치지 말라고들 해서, 일단 기존 irp 말고 별도 다른 증권사에 irp 계좌를 개설 했습니다. 퇴직 후 irp 계좌에 입금된 금액 중 일부만 인출을 하고 싶은데 가능한가요? 예를 들면 삼천만원을 받으면 천만원만 인출이 가능한지 문의드립니다. 급한 생활비만 인출하고, 나머지는 제가 안쓰게 묶어두고 싶어서요~~~ 검색을 해도 정확한...","은퇴 후 50년 [시니어·실버·노후·귀농·모임]
대표
2025.04.18.",카페명 없음,날짜 없음,https://cafe.naver.com/dlxogns01/267061?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRseG9nbnMwMSIsImFydGljbGVJZCI6MjY3MDYxLCJpc3N1ZWRBdCI6MTc1MDcyODIyNTQyMH0.7awRJyKCDlSQU-PmjeHeUBYiW4wF2P6HdoJ1crNo4Cs
68,고심 끝에 IRP 포트폴리오(20년 프로젝트),"매년 900만원씩 IRP 차곡차곡 납입하여 투자중 입니다. 고심 끝에 아래와 같은 포트로 꾸준하게 매수 예정 입니다. 1. 빅테크7 2. S&P 500 3. 나스닥100 4. 코미액, 코미커 입니다~ +/- 미국채 커버드콜, 리얼티, 미배당 넣을까 하다가 이대로만 가도 20년 뒤에 5배는 먹지 않을까 싶습니다. ㅎㅎ 중간에 하락장 오면 땡큐고 더 사면 되고요~ 어차피 20년 동안 묵힐 돈이니까 잊은듯 살면 될 것 같습니다 ㅎㅎㅎ","배당 투자자 모임
1주 전",카페명 없음,날짜 없음,https://cafe.naver.com/divclub/28253?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRpdmNsdWIiLCJhcnRpY2xlSWQiOjI4MjUzLCJpc3N1ZWRBdCI6MTc1MDcyODIyNTQyMH0.En8rSk5q0otawEQaWvIeccwx2FzidfeJIjIHps_b7eM
69,IRP 계좌 아시는분 좀 알려주세요,얼마전 엄마가 대출 연장하시면서 30만원짜리 IRP계좌를 만들었다고 하시네요 (은행에 같이 가지 않았어요) 다 이해하겠는데 엄마 연세가 72세 이신데 5년 완납 후 연금을 몇년 동안 수령해야하는지 모르겠어요 좀 알려주세요^^;;;;; ⠀,"아프니까 사장이다 [소상공인·자영업자·창업]
대표
3주 전",카페명 없음,날짜 없음,https://cafe.naver.com/jihosoccer123/3314262?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImppaG9zb2NjZXIxMjMiLCJhcnRpY2xlSWQiOjMzMTQyNjIsImlzc3VlZEF0IjoxNzUwNzI4MjI1NDIwfQ.ANc-XUgCCnzi2AGFT_Q_zXqb_pOkgayiDUkrWhkF5mY
70,IRP 궁금한 점,재테크 초보 입니다. IRP의 연금소득세가 3.3% ~ 5.5% (세액공제 받은 금액 + 운용수입) 인데... 그냥 저축은행 예금에 비해 큰 이득이 있을까 생각이 듭니다. 저축은행 예금은 이자분에 대해서만 15.4% 이자 소득세 부과 되잖아요 물론 세액공제(13.2% ~ 16.5%)는 받는 장점은 있지만 원금 + 운용수입 전체에 대해 연금소득세를 부과하고.. 10년 분할 수령해야 한다는 조항과 해약시 16.5% 기타소득세 부과되고...,"월급쟁이 재테크 연구카페(예금,적금,펀드,보험,CMA,주식,경매)
대표
4주 전",카페명 없음,날짜 없음,https://cafe.naver.com/onepieceholicplus/5529234?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Im9uZXBpZWNlaG9saWNwbHVzIiwiYXJ0aWNsZUlkIjo1NTI5MjM0LCJpc3N1ZWRBdCI6MTc1MDcyODIyNTQyMH0.C2-_8oWVh8vlQ7ICmv0oZ8QGZVqpnl_s7-4ZGfv-WlQ
71,개인연금과 IRP는?,안녕하세요? 개인연금과 IRP를 5년에 나누어 받을지? 20년으로 할지? 고민입니다. 퇴직후 연금 등 소득은 생활할 만큼 있고 의료보험료와 세율이 낮은 것을 선택하고자 고민입니다. 은오님들의 고견을 듣고 싶습니다.,"은퇴 후 50년 [시니어·실버·노후·귀농·모임]
대표
2025.04.26.",카페명 없음,날짜 없음,https://cafe.naver.com/dlxogns01/269000?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRseG9nbnMwMSIsImFydGljbGVJZCI6MjY5MDAwLCJpc3N1ZWRBdCI6MTc1MDcyODIyNTQyMH0.b84zEVT4YWaCe_UlErclN4Qna-rT3qg5iBrgNsDRFO8
72,IRP계좌로 퇴직연금 받아보신분 계신가요?,퇴직연금으로 퇴직금을 받아본적이 없어서 궁금한것이 있습니다! IRP통장으로 지급 받는 퇴직연금은 근로자가 따로 뭔가 해야할게 없는게 맞나요?? 회사에 IRP 계좌만 알려주면 되는지요?? 지급진행조회를 하면 신청내역이 없는데 아직 회사에서 신청을 안한건지 제가 뭔가 따로 신청해야하는건지 모르겠습니다 알고계신분 계신가요?,"논산맘정보통
2주 전",카페명 없음,날짜 없음,https://cafe.naver.com/nonsanbaby/691027?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Im5vbnNhbmJhYnkiLCJhcnRpY2xlSWQiOjY5MTAyNywiaXNzdWVkQXQiOjE3NTA3MjgyMjU0MjB9.zL9F0-jXOt0LQg_LUelN_VZID4vLLbacMvVl0Mi691A
73,"오늘은 개인 IRP 자산배분의 날,,,","작년 11월 부터,,,, 개인 IRP 를 시작 했습니다. 회사에서 반/제 돈 반 해서,, 소액으로 ,,, 개인 IRP 들어 갔습니다. 소득 공제 용입니다. . 그래도,, 지금 까지 수익율은 4.02% 정도 됩니다. ^^","경제적 자유를 찾아서
17시간 전",카페명 없음,날짜 없음,https://cafe.naver.com/findingfinancialfree/88053?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImZpbmRpbmdmaW5hbmNpYWxmcmVlIiwiYXJ0aWNsZUlkIjo4ODA1MywiaXNzdWVkQXQiOjE3NTA3MjgyMjU0MjB9.dhPx7-ESXkFxTJv8j3Y-XYgmUaDnXBwdVds9otGMX0M
74,"디딤돌대출시 은행직원의 카드,irp 등 가입강요","현재 대출은 실행완료된 상태입니다만 약정서 쓰러갈때 은행 실적문제로 청약통장 개설 ,irp 개설 후 매달 10만원납부,신용카드1개 발급, 새 급여통장으로 전환하는 것을 권유하여 도의적으로 다 만들었으나 다른 후기들 보면 신용카드나 irp정도 개설하던데 좀 과한거 아닌가요? 신용카드는 기존에 3개정도 있어서 대출실행 후 해지했더니 왜 해지하셨냐고 전화가 왔더라고요;; 도의적으로 유지하는게 맞으나...","내집마련디딤돌대출 & 버팀목전세자금대출 카페
2025.05.18.",카페명 없음,날짜 없음,https://cafe.naver.com/publicmortgageloans/168227?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InB1YmxpY21vcnRnYWdlbG9hbnMiLCJhcnRpY2xlSWQiOjE2ODIyNywiaXNzdWVkQXQiOjE3NTA3MjgyMjU0MjB9.y2e4xHOQ116m0FGLVCai-hZ7ILr6WAq52kh_q8sZnLM
75,개인 IRP 투자 중입니다,"저는 개인 퇴직 연금도 하고 있는데요, 퇴직금과 별개로 개인 IRP에 투자도 하고 있습니다. 이렇게 세팅을 한 이후로 매도는 하지 읺구요, 매년 추매만 하고 있습니다. 어느새 원금은 4100만원이 들어가 있는데, 요즘 좀 빠지긴 했지만 그래도 수익중입니다. 개인마다 방식은 다르겠으나, 저같은 경우는 세팅이 끝나면 버티는 전략을 택했습니다. 이번 조정장을 위험자산 수량을 늘리는 계기로 삼았습니다. 만 55세가...","미국 주식이 미래다
2025.04.27.",카페명 없음,날짜 없음,https://cafe.naver.com/likeusstock/1227992?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Imxpa2V1c3N0b2NrIiwiYXJ0aWNsZUlkIjoxMjI3OTkyLCJpc3N1ZWRBdCI6MTc1MDcyODIyNTQyMH0.aqyTsNbn-C3lOFb2nezZoq6-69NCmgIOKEkPZp8L204
76,irp 에 넣을 고배당주 추천해주세요,계속 재투자하려고 하는데 irp에 고배당 주식 어떤거 투자히실까요 그리고 irp 가지고 있으면 매년 절세가 많이 될까요,"배당 투자자 모임
2025.05.04.",카페명 없음,날짜 없음,https://cafe.naver.com/divclub/26400?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRpdmNsdWIiLCJhcnRpY2xlSWQiOjI2NDAwLCJpc3N1ZWRBdCI6MTc1MDcyODIyNTQyMH0.6OivIEuzKBkis0XVtUsTx_r2YOILFto2j4kHIRaXqCQ
77,2007년에 가입한 연금저축상품을 최근 가입한 irp로 이전가능할까요?,"퇴직연금수령 irp에 대해서 알아보던 중, 예전 연금저축상품을 현재 irp로 이전하게 되면, 연금수령연차가 늘어나는 이점이 있다고 해서 문의드려봅니다. 1) 예전 연금저축상품: 농협생명 세테크연금공제(2007년에 가입. 연말정산시 세액공제를 받아왔던 상품임) 2) 3년 전에 를 개설하여 소액만 입금해놓은 상태임. 연금저축상품 연금개시 전인 54세 즈음에 농협생명 상품을 로 이전하고서, 나중에...","은퇴 후 50년 [시니어·실버·노후·귀농·모임]
대표
2025.04.23.",카페명 없음,날짜 없음,https://cafe.naver.com/dlxogns01/268219?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRseG9nbnMwMSIsImFydGljbGVJZCI6MjY4MjE5LCJpc3N1ZWRBdCI6MTc1MDcyODIyNTQyMH0.cxAFpmGMBWk8LRZFMbSkWH8r41nXCJQ5e0B1W5pVtn0
78,퇴직금 지급시 irp통장으로 보내야하나요,안녕하세요 이번에 경리로 새로 입사했는데 전경리 퇴직금을 보내야 하는데 irp통장으로 보내야하나요? (나이는 55세 안되고 금액은 500 넘습니다) 참고로 자치관리로 퇴직충당금 모아놨다 통장에서 인출합니다 만일 irp통장으로 입금해야하면 세금 안떼고 보내야 하는것 같던데 그럼 xperp에 통장 입금해야 하는거 얘기하고 퇴직소득명세서 받아야하나요?,"【전아모】 전국 아파트/주상복합 관리자 등의 모임
대표
2025.04.04.",카페명 없음,날짜 없음,https://cafe.naver.com/amoapt/1264951?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImFtb2FwdCIsImFydGljbGVJZCI6MTI2NDk1MSwiaXNzdWVkQXQiOjE3NTA3MjgyMjU0MjB9.KKHykUQRNeDgi5XwyB5r52ZLv2P_xK9Cn4Ge4R1on7A
79,퇴직소득자료입력) 퇴직금을 irp 계좌로 지급할 경우와 일반 통장 지급할 경우 회계처리 문의,"1명은 irp 계좌로 지급받겠다 하시고, 나머지 한분은 일반 통장으로 지급받고 싶어 하시는데요 현 사업장은 DC나 DB형에 가입되어있지 않습니다. 1. irp 계좌 지급 시 -퇴직금계산해서 나온 소득세를 떼고 차인지급액만 지급하는게 맞나요? 아니면 소득세를 공제하지 않고 총 금액을 납부하는게 맞나요? -퇴직소득자료입력에서 과세이연계좌명세를 작성해야하나요? -과세이연계좌명세를 작성할때 입금일은 아직...","경리-회계 직장인들의 쉼터
1주 전",카페명 없음,날짜 없음,https://cafe.naver.com/aclove/622370?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImFjbG92ZSIsImFydGljbGVJZCI6NjIyMzcwLCJpc3N1ZWRBdCI6MTc1MDcyODIyNTQyMH0.VMj130_4KsYos0WEqgznHI44J47rinDMRmbITvrBMHo
80,irp 상품 고민,irp 안전자산 30퍼에 최종 후보 2개 정했습니다. tdf2045랑 sol미국배당미국채50 입니다. 배당재투자 한다는 가정하에 둘중에 뭐가 낫죠? 현재 35세.,"배당 투자자 모임
2025.05.15.",카페명 없음,날짜 없음,https://cafe.naver.com/divclub/27044?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRpdmNsdWIiLCJhcnRpY2xlSWQiOjI3MDQ0LCJpc3N1ZWRBdCI6MTc1MDcyODIyNTQyMH0.-RIuyy1rLE0VTQ38I2-pIaWwaaHM8hW2_n65UrlDVAY
81,연금저축펀드/IRP 종목 조언 구합니다 ㅠㅜ,"이번달 양도세 폭탄맞고(작년에 이어..), 자금을 연금저축펀드와 IRP로 분산하려고 부랴부랴 공부하고 있습니다 ㅠㅜ 세제혜택, 과세이연 등 좋은 점들은 알겠는데요. 문제는 종목입니다. 현재... 연금저축펀드나 IRP라고 다른 종류의 ETF를 담고 싶지는 않아서, 유사한 성격의 (국내상장 해외) ETF를 사고 싶은데요. 딱 떨어지는 ETF를 아직 찾지는 못했습니다. Tiger 미국테크Top10 indxx, Ace 미국빅테크...","미국 주식이 미래다
2025.05.19.",카페명 없음,날짜 없음,https://cafe.naver.com/likeusstock/1240749?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Imxpa2V1c3N0b2NrIiwiYXJ0aWNsZUlkIjoxMjQwNzQ5LCJpc3N1ZWRBdCI6MTc1MDcyODIyNTQyMH0.pe7Hfh-u2B-R986WmCZPo1_jY_z0MsnV_8EK4XV7s8U
82,회사퇴직연금IRP도 재산조회에 잡히나요?,궁금해서 여쭙니다. 회사퇴직연금IRP도 재산조회에 잡히는지해서요.,"한국/미국주식 : 장기투자를 지향하는 대표 주식카페
21시간 전",카페명 없음,날짜 없음,https://cafe.naver.com/pointns/521052?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InBvaW50bnMiLCJhcnRpY2xlSWQiOjUyMTA1MiwiaXNzdWVkQXQiOjE3NTA3MjgyMjU0MjB9.pGIDco3RYVWiKfGsC-lxcWYH-gLihmuX_PR2FP8yd-4
83,퇴직연금 미가입 사업장에서 개인IRP계좌로 지급시 원천징수는,"회사는 퇴직연금 미가입 상태입니다. 개인IRP 계좌는 개설해서 회사에 받아놓은상태입니다. 300만원이 넘어서 개인IRP 계좌로 송금만 하면 원천징수는 은행에서 하나요? 아니면 회사에서 원천징수하고 실 수령금액만 개인IRP계좌로 송금해주나요? 궁금증이 회사에서 원천징수 안하면 은행에서는 어떻게 입사일, 퇴사일등의 정보를 알아서 퇴직소득세를 징수하는지 궁금하네요. 고수님들 경험부탁드립니다.","경리-회계 직장인들의 쉼터
2025.05.07.",카페명 없음,날짜 없음,https://cafe.naver.com/aclove/617830?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImFjbG92ZSIsImFydGljbGVJZCI6NjE3ODMwLCJpc3N1ZWRBdCI6MTc1MDcyODIyNTQyMH0.qt3C8rcSzOqzjzYddchIG5ud94XvfaP86z_3zd8tQuI
84,공무원분들! 행정공제회보다 irp가 훨 나은거 아닌가요?,irp해서 이율 좋은 적금들면 행정공제회 이율보다 좋고 행정공제회는 15.4프로 떼는데 irp는 3퍼인가밖에 안떼니 더 좋은거아닌가요? 단지 irp는 연금식수령만되고 행정공제회는 한번에 받을수있다는데 뭐 행정공제회도 연금식으로받는다면? 무조건 irp몰빵이 좋은거 아닌가요? @@?,"은퇴 후 50년 [시니어·실버·노후·귀농·모임]
대표
4주 전",카페명 없음,날짜 없음,https://cafe.naver.com/dlxogns01/276976?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRseG9nbnMwMSIsImFydGljbGVJZCI6Mjc2OTc2LCJpc3N1ZWRBdCI6MTc1MDcyODIyNTQyMH0.QXWKSpOI9TV-GXW0mE6sO_9po_FkaWZ6egGlJjotSDw
85,[삼O증권] DC 계좌에서 IRP(퇴직금) 계좌 실물 이전 가능 여부,"제가 알기로는 퇴직을 하면, DC 계좌 상품을 전부 현금화 하여, IRP 로 이전해야 하는 것으로 알고 있습니다. 인터넷을 찾아보니 같은 증권사 내에서는 DC 에서 IRP 로 실물 이전 가능 하다고 본 것 같습니다. 최근에 실물 이전 경험이 있으신 분은 조언을 부탁드립니다. DC 계좌에서는 미국 지수 ETF, 미국 기술주 중심의 커버트콜 EFT 상품을 매수 예정입니다.","은퇴 후 50년 [시니어·실버·노후·귀농·모임]
대표
3주 전",카페명 없음,날짜 없음,https://cafe.naver.com/dlxogns01/278437?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRseG9nbnMwMSIsImFydGljbGVJZCI6Mjc4NDM3LCJpc3N1ZWRBdCI6MTc1MDcyODIyNTQyMH0.txuxNa_OXR5HP6UjsAZwIPSDJT180SM9QRP22zkoJoc
86,연금과 IRP 계좌 포폴 공유,"비중 현재 금융투자(연금+IRP 계좌)는 배당ETF가 메인입니다. Tiger은행고배당플러스TOP10으로 미드필드로 월배당 구성했으며, Tiger미국S&P500이 공격 포지션, KODEX종합채권(AA-이상)액티브는 수비수 포지션입니다. 월배당 배당수익률도 괜찮고, 수익률도 괜찮아 Tiger은행고배당플러스TOP10에 만족하고 있습니다. 5년 이내 단기 목표로 연간 2천만원 이상 배당받도록 Tiger은행고배당플러스TOP10의 수량을...","배당 투자자 모임
2025.05.25.",카페명 없음,날짜 없음,https://cafe.naver.com/divclub/27541?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRpdmNsdWIiLCJhcnRpY2xlSWQiOjI3NTQxLCJpc3N1ZWRBdCI6MTc1MDcyODIyNTQyMH0.yMwnx2IzdJ_ksPb7KPdjbYyIS0sjAWJczybQJaddz1A
87,IRP 미국 채권 질문 있습니다,"IRP 계좌에서 투자 가능하고, 주식 : 채권 = 6 : 4 로 맞추기 위해, 주식 6을 국내 상장 미국 ETF인 TIGER 미국S&P500으로 할 경우, 채권 4에 해당하는 (그리고 IRP 안전자산 30%로 인정받을 수 있는) 국내 상장 미국 채권 ETF가 있을까요? TIGER 미국채10년선물 종목이 있긴 한데, 안전자산으로 인정이 안되는 듯 해서요. 미국 주식과 헷지가 가능한 (주식:채권 분배가 잘 작동하는) 종목을 찾는데 찾기가...","배당 투자자 모임
2025.04.08.",카페명 없음,날짜 없음,https://cafe.naver.com/divclub/24754?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRpdmNsdWIiLCJhcnRpY2xlSWQiOjI0NzU0LCJpc3N1ZWRBdCI6MTc1MDcyODIyNTQyMH0.tFyVOGodUR1hxw4Rv2ogb0MHTy_eQ-odW-VDVlavuSo
88,IRP문의,연말정산 세액공제 받지 않는 IRP계좌로 배당주나 배당ETF 구입시 어떤 장단점이 있나요? 배당주 매입시 연금수령방 법은? 주식을 다 매도해야 하나요?,"은퇴 후 50년 [시니어·실버·노후·귀농·모임]
대표
2025.05.22.",카페명 없음,날짜 없음,https://cafe.naver.com/dlxogns01/275848?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRseG9nbnMwMSIsImFydGljbGVJZCI6Mjc1ODQ4LCJpc3N1ZWRBdCI6MTc1MDcyODIyNTQyMH0.Z9HXEOLesYNYm8zi6t7Fth-wN9J9qIFwJrdRDuVuvxc
89,IRP 계좌 조언 뭐든 정보 주세요,현 59세 55세 퇴직금은 수령한 상태 앞으로 ~5년 전후 완전히 퇴직할 예정인데요 소득공제용으로 irp 1년에 천팔백 채우고 있는데 isa계좌 만기금도 irp로 입금 예정이고 이대로 irp에 1억 정도 입금할 예정입니다 65세 수령 예정인데로 장단점 있을까요?,"은퇴 후 50년 [시니어·실버·노후·귀농·모임]
대표
2025.03.27.",카페명 없음,날짜 없음,https://cafe.naver.com/dlxogns01/261337?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRseG9nbnMwMSIsImFydGljbGVJZCI6MjYxMzM3LCJpc3N1ZWRBdCI6MTc1MDcyODIyNTQyMH0.tagjP9aHCpuTZStpncyZKed42D7dt0zyvi2kUJHHD9Q
90,(리플절실)쌩초보 IRP계좌 절세 관련 문의,난생 처음으로 연말정산 대비 IRP계좌를 개설했습니다. 추천하시는 ETF 세 종목을 샀다가 짧게 마음고생하고 다 팔아버렸습니다. 1. 투자를 하지 않고 계좌에 납입만 해도 세액공제 혜택을 받을 수 있는지요? 2. 납입 시기가 11월이나 12월어도 관계 없는지요?(너무 기초적인 질문이라 그런지 네이버 검색을 해봐도 답이 안나와요). 3. 투자하지 않고 넣어둔 돈은 원금이 보존되는 대신 수익도 전혀 없는지요?...,"은퇴 후 50년 [시니어·실버·노후·귀농·모임]
대표
2025.05.12.",카페명 없음,날짜 없음,https://cafe.naver.com/dlxogns01/273131?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRseG9nbnMwMSIsImFydGljbGVJZCI6MjczMTMxLCJpc3N1ZWRBdCI6MTc1MDcyODIyNTQyMH0.QvS8NQIwZx9aMx2CXtVttIf4dsq0lCoX2w3YpOjD6wo
